system,sequence,ate_run1,ate_run2,ate_run3,ate_min,ate_max,ate_ratio,rte_ratio,cross1,cross10,ratio_ge2,ratio_ge10
ORB-SLAM3,MIPT01,0.0585572774,0.0588906298,0.060718798,0.0585572774,0.060718798,1.0369129286055228,1.0089260310420185,False,False,False,False
ORB-SLAM3,MIPT02,0.1398079655,0.1129740385,0.1098784175,0.1098784175,0.1398079655,1.2723878690735602,1.057014069718244,False,False,False,False
ORB-SLAM3,MIPT03,192.321928765,0.5645644359,0.6016040558,0.5645644359,192.321928765,340.6554089054691,22.25206688475538,True,True,True,True
ORB-SLAM3,MOO01,0.1467880362,0.1550534454,0.1279132676,0.1279132676,0.1550534454,1.2121764091342782,1.298747486001969,False,False,False,False
ORB-SLAM3,MOO02,0.1629282655,0.1605991684,0.1330396986,0.1330396986,0.1629282655,1.224659009412398,1.3953850207930574,False,False,False,False
ORB-SLAM3,MOO03,0.204925448,0.1946589016,0.2014350539,0.1946589016,0.204925448,1.0527412120155517,1.0939628486311483,False,False,False,False
ORB-SLAM3,MOO04,0.2106693749,0.2222571411,0.2105169732,0.2105169732,0.2222571411,1.0557682723703534,1.0457579575279192,False,False,False,False
ORB-SLAM3,MOO05,0.1712384459,0.1640015048,0.1505180232,0.1505180232,0.1712384459,1.137660741614098,1.0689785412538972,False,False,False,False
ORB-SLAM3,MOO06,0.6216087389,0.3869109886,0.4500705458,0.3869109886,0.6216087389,1.6065936538769061,1.0242645637884347,False,False,False,False
ORB-SLAM3,MOO07,0.1909507936,0.1631887017,0.1837615346,0.1631887017,0.1909507936,1.1701226347828713,1.1264334146690553,False,False,False,False
ORB-SLAM3,MOO08,0.7782726001,0.7211343742,0.8699532633,0.7211343742,0.8699532633,1.2063677650439202,1.1244747555179377,False,False,False,False
ORB-SLAM3,MOO09,0.0379287438,0.0356226137,0.029466813,0.029466813,0.0379287438,1.287168171189738,1.229398070254436,False,False,False,False
ORB-SLAM3,MOO10,0.3008566228,0.290834028,0.2738390518,0.2738390518,0.3008566228,1.0986622281314806,1.01923527868244,False,False,False,False
ORB-SLAM3,MOO11,0.6003881759,0.4582727587,0.6304571877,0.4582727587,0.6304571877,1.3757247746700945,1.4533059623969686,False,False,False,False
